Fecha,i,j,Ng,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,H,S,L
2020-04-03,442,460,6,2535,2702,3041,3151,3142,3060,3031,3015,2953,3373,1827,1362,1258.3519444444444,767.128,2926.5
2020-04-03,443,446,6,2522,2655,3025,3083,3185,3156,3077,3069,3023,3540,2944,2209,1440.8100000000002,745.904,2869.0
2020-04-03,445,451,6,2497,2596,2940,3060,3102,3039,2994,2982,2928,3451,2323,1728,1235.6322222222223,820.368,2828.0
2020-04-03,445,462,6,2524,2660,2988,3133,3123,3064,3020,3001,2944,3353,1808,1329,1155.743611111111,816.5029999999999,2896.5
2020-04-03,446,371,6,2392,2438,2723,2837,2834,2776,2753,2738,2693,3139,1899,1367,1190.476111111111,756.398,2637.5
2020-04-03,448,449,6,2591,2691,3117,3149,3211,3170,3119,3107,3019,3600,3097,2380,1550.2183333333332,784.247,2920.0
2020-04-03,449,379,6,2469,2552,2811,2925,2936,2855,2842,2841,2792,3226,1761,1284,1157.2833333333333,681.03,2738.5
2020-04-03,450,364,6,2414,2456,2756,2866,2852,2789,2764,2747,2700,3174,1881,1356,1219.5122222222221,770.3870000000001,2661.0
2020-04-03,451,369,6,2449,2579,2866,2978,2910,2852,2830,2809,2747,3225,1794,1307,1198.8302777777778,718.013,2778.5
2020-04-03,453,462,6,2453,2653,2966,3085,3077,2998,3002,2985,2932,3293,1883,1417,1207.5616666666667,752.876,2869.0
2020-04-03,454,451,6,2631,2666,3032,3089,3170,3117,3075,3053,2986,3657,2953,2296,1442.0802777777778,735.013,2877.5
2020-04-03,459,454,6,2647,2691,3023,3099,3140,3085,3044,3036,2955,3659,2756,2080,1356.2091666666668,704.663,2895.0
2020-04-03,459,463,6,2506,2653,2986,3114,3115,3039,3005,3022,2965,3392,2099,1514,1203.9044444444446,799.376,2883.5
2020-04-03,464,462,6,2490,2710,3047,3130,3133,3072,3024,3029,2954,3444,2267,1648,1337.3016666666667,719.178,2920.0
2020-04-03,465,457,6,2555,2649,2999,3010,3110,3078,3021,2964,2942,3547,2775,2122,1615.8819444444446,637.922,2829.5
2020-04-03,466,468,6,2624,2691,3028,3128,3124,3069,3035,3050,2959,3533,1963,1460,1285.2783333333334,750.9879999999999,2909.5
2020-04-03,470,461,6,2559,2649,3014,3026,3115,3060,3013,3020,2950,3518,2484,1926,1613.6163888888889,664.317,2837.5
2020-04-03,473,473,6,2689,2745,3032,3162,3154,3070,3039,3039,2956,3615,1970,1460,1147.0822222222223,705.942,2953.5
2020-04-03,477,463,6,2555,2618,3014,2998,3128,3069,3036,2982,2944,3482,2504,2015,1734.0066666666667,703.125,2816.0
2020-04-03,478,475,6,2626,2730,3045,3142,3123,3062,3058,3022,2977,3587,2098,1515,1274.2719444444444,701.635,2936.0
2020-04-03,481,466,6,2595,2590,3006,2987,3113,3068,3026,2994,2938,3534,2524,2002,1742.7883333333334,743.388,2798.0
